Date,Close/Last,Volume,Open,High,Low
03/01/2023,1845.40,179501,1834.00,1852.50,1829.60
02/28/2023,1836.70,175222,1823.90,1838.60,1810.80
02/27/2023,1824.90,127138,1818.00,1827.30,1812.00
02/24/2023,1817.10,162961,1829.70,1835.10,1815.50
02/23/2023,1826.80,174152,1834.70,1841.20,1824.80
02/22/2023,1841.50,137955,1843.70,1855.00,1831.90
02/21/2023,1842.50,205256,1850.50,1856.40,1839.00
02/17/2023,1850.20,161154,1845.70,1853.10,1827.70
02/16/2023,1851.80,163521,1846.50,1854.90,1836.60
02/15/2023,1845.30,165570,1865.10,1870.90,1839.30
02/14/2023,1865.40,209831,1864.10,1881.60,1852.50
02/13/2023,1863.50,127343,1876.70,1877.20,1860.80
02/10/2023,1874.50,150144,1873.50,1883.50,1863.50
02/09/2023,1878.50,177874,1888.30,1902.30,1870.20
02/08/2023,1890.70,126260,1885.10,1898.90,1881.40
02/07/2023,1884.80,172946,1880.30,1897.20,1877.50
02/06/2023,1879.50,158761,1878.00,1894.00,1873.20
02/03/2023,1876.60,296669,1926.30,1932.40,1874.50
02/02/2023,1930.80,242931,1967.10,1975.20,1925.60
02/01/2023,1942.80,205037,1944.00,1970.80,1936.10
01/31/2023,1945.30,189046,1938.60,1946.90,1915.50
01/30/2023,1939.20,134362,1944.00,1950.10,1936.20
01/27/2023,1945.60,142448,1945.80,1952.10,1933.00
01/26/2023,1946.70,127736,1965.00,1966.50,1935.10
01/25/2023,1959.40,81544,1955.20,1966.30,1937.50
01/24/2023,1952.20,82356,1948.90,1960.50,1935.00
01/23/2023,1945.40,55696,1948.00,1953.30,1929.20
01/20/2023,1928.20,161073,1933.70,1939.00,1922.00
01/19/2023,1923.90,204470,1907.00,1936.90,1902.00
01/18/2023,1907.00,209782,1911.10,1929.80,1898.60
01/17/2023,1909.90,253693,1923.80,1931.80,1906.20
01/13/2023,1921.70,226750,1898.80,1925.30,1895.10
01/12/2023,1898.80,243497,1879.70,1906.50,1872.40
01/11/2023,1878.90,201761,1881.30,1890.90,1870.90
01/10/2023,1876.50,150115,1875.70,1885.20,1872.00
01/09/2023,1877.80,183869,1872.80,1886.40,1869.30
01/06/2023,1869.70,208187,1835.90,1875.20,1835.20
01/05/2023,1840.60,177851,1861.20,1864.30,1829.90
01/04/2023,1859.00,193760,1845.20,1871.30,1842.00
01/03/2023,1846.10,206818,1831.80,1856.60,1831.30
12/30/2022,1826.20,103926,1821.80,1832.40,1819.80
12/29/2022,1826.00,103283,1812.30,1827.30,1811.20
12/28/2022,1815.80,110705,1822.40,1822.80,1804.20
12/27/2022,1823.10,156189,1808.20,1841.90,1808.00
12/23/2022,1804.20,100413,1801.00,1812.20,1798.90
12/22/2022,1795.30,168989,1823.80,1829.30,1792.70
12/21/2022,1823.90,103269,1827.90,1833.80,1821.30
12/20/2022,1825.40,191823,1796.80,1832.40,1793.70
12/19/2022,1797.70,84087,1801.60,1808.60,1793.20
12/16/2022,1800.20,126360,1786.90,1804.20,1783.90
12/15/2022,1787.80,179653,1818.70,1819.70,1782.00
12/14/2022,1818.70,140490,1822.60,1825.40,1806.20
12/13/2022,1825.50,222725,1792.30,1836.90,1791.80
12/12/2022,1792.30,105314,1808.00,1809.30,1789.00
12/09/2022,1810.70,145372,1801.90,1819.00,1800.10
12/08/2022,1801.50,111761,1799.50,1806.90,1793.20
12/07/2022,1798.00,149600,1783.30,1803.20,1780.50
12/06/2022,1782.40,123344,1780.80,1793.20,1779.10
12/05/2022,1781.30,175905,1810.50,1822.90,1778.10
12/02/2022,1809.60,177152,1817.00,1818.70,1791.80
12/01/2022,1815.20,219246,1783.10,1818.40,1782.90
11/30/2022,1759.90,183177,1763.40,1784.20,1758.20
11/29/2022,1763.70,125501,1754.60,1773.40,1752.90
